"","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"BIGEYECWPAC_fdat",0.04,0.03,0.04,0.05,0.05,0.06,0.05,0.06,0.07,0.07,0.09,0.08,0.1,0.09,0.09,0.1,0.12,0.12,0.13,0.13,0.14,0.13,0.14,0.18,0.18,0.19,0.15,0.19,0.19,0.21,0.26,0.34,0.28,0.26,0.25,0.31,0.28,0.39,0.29,0.32,0.3,0.31,0.34,0.31,0.34,0.32,0.282,0.291,0.313
"BMARLINPAC_fdat",0.196,0.196,0.196,0.196,0.089,0.104,0.12,0.115,0.114,0.132,0.146,0.161,0.168,0.166,0.175,0.186,0.168,0.194,0.156,0.188,0.259,0.224,0.19,0.167,0.176,0.203,0.228,0.234,0.264,0.176,0.198,0.201,0.196,0.256,0.301,0.321,0.382,0.328,0.362,0.325,0.273,0.261,0.279,0.271,0.232,0.196,0.196,0.196,0.196
"BTSHRIMPNAUST_fdat",0.298,0.298,0.298,0.0461,0.0396,0.0626,0.0618,0.0295,0.0562,0.0596,0.168,0.171,0.304,0.431,0.501,0.488,0.617,0.561,0.46,0.371,0.298,0.37,0.431,0.303,0.49,0.387,0.336,0.238,0.535,0.307,0.312,0.43,0.277,0.197,0.192,0.0675,0.0848,0.0767,0.0984,0.135,0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.298
"GTPRAWNNAUST_fdat",0.674,0.674,0.674,0.0257,0.0606,0.0632,0.0789,0.0624,0.116,0.132,0.222,0.317,0.326,0.592,0.75,0.768,0.912,0.852,0.906,0.674,0.799,0.865,0.816,0.851,0.776,0.794,0.593,0.738,0.739,0.695,0.678,0.939,0.697,0.69,0.603,0.628,0.666,0.623,0.487,0.493,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674
"SKJCWPAC_fdat",0.8675,0.8675,0.8675,0.8675,0.8675,0.291,0.344,0.513,0.407,0.501,0.532,0.449,0.511,0.532,0.586,0.493,0.491,0.625,0.563,0.575,0.525,0.539,0.667,0.763,0.907,0.872,0.863,0.811,0.815,0.891,0.906,1,0.877,1.05,1.13,1.23,1.46,1.5,1.19,1.36,1.28,1.63,1.96,1.72,1.62,1.74,1.41,1.34,1.33
"YFINCWPAC_fdat",0.0183,0.0228,0.0233,0.052,0.0573,0.0654,0.0816,0.0842,0.09,0.0842,0.102,0.0887,0.104,0.118,0.127,0.135,0.15,0.172,0.174,0.158,0.186,0.186,0.212,0.242,0.261,0.242,0.229,0.261,0.273,0.324,0.381,0.444,0.498,0.503,0.518,0.497,0.583,0.599,0.569,0.513,0.534,0.595,0.542,0.582,0.588,0.619,0.61,0.559,0.529
"BIGEYECWPAC_erdat",0.0180788177339901,0.0152763819095477,0.0176410256410256,0.0206701030927835,0.0229787234042553,0.0310869565217391,0.0270165745856354,0.029171270718232,0.0375135135135135,0.0433507853403141,0.0433854166666667,0.035752688172043,0.0422988505747126,0.0435542168674699,0.0393251533742331,0.0422941176470588,0.043728813559322,0.04875,0.0508045977011494,0.0534857142857143,0.0625,0.0607734806629834,0.0589189189189189,0.067741935483871,0.0612021857923497,0.0722222222222222,0.0634285714285714,0.0739884393063584,0.0668604651162791,0.0668539325842697,0.0888888888888889,0.101744186046512,0.0945121951219512,0.0893081761006289,0.0895705521472393,0.103105590062112,0.0903846153846154,0.125,0.1,0.109722222222222,0.101418439716312,0.112686567164179,0.115384615384615,0.10703125,0.128,0.12734375,0.1125,0.106,0.0629642857142857
"SKJCWPAC_erdat",0.230511123368267,0.230511123368267,0.230511123368267,0.230511123368267,0.230511123368267,0.0730061349693251,0.0856770833333333,0.0959568733153639,0.092604501607717,0.122260273972603,0.13202614379085,0.130523255813953,0.127863777089783,0.150333333333333,0.149484536082474,0.144712990936556,0.150462962962963,0.157700650759219,0.137956204379562,0.163431151241535,0.138302277432712,0.158039215686275,0.17089715536105,0.208823529411765,0.2675,0.249484536082474,0.236061381074169,0.232783018867925,0.22972972972973,0.231292517006803,0.217703349282297,0.261640798226164,0.225806451612903,0.272941176470588,0.288359788359788,0.342318059299191,0.376119402985075,0.40117994100295,0.362694300518135,0.375621890547264,0.388758782201405,0.439353099730458,0.529585798816568,0.489913544668588,0.451612903225806,0.46684350132626,0.411633109619687,0.409090909090909,0.414965986394558
"STMARLINSWPO_erdat",0.148,0.114,0.0977,0.19,0.211,0.214,0.221,0.202,0.165,0.161,0.0927,0.209,0.189,0.131,0.257,0.268,0.177,0.2,0.22,0.205,0.184,0.229,0.311,0.259,0.209,0.174,0.177,0.265,0.247,0.217,0.215,0.298,0.317,0.309,0.297,0.337,0.385,0.378,0.34,0.287,0.239,0.305,0.32,0.245,0.229,0.22,0.22,0.22,0.22
"YFINCWPAC_erdat",0.0132755298651252,0.0165120967741935,0.0180745341614907,0.02020366598778,0.0207100591715976,0.0240165631469979,0.0283516483516484,0.0297297297297297,0.0323394495412844,0.0348519362186788,0.0394004282655246,0.0358870967741935,0.0403651115618661,0.0483370288248337,0.0522352941176471,0.0537530266343826,0.0670702179176755,0.0695431472081218,0.0736979166666667,0.067005076142132,0.0776119402985075,0.0780856423173804,0.0922480620155039,0.105851063829787,0.114824797843666,0.115817694369973,0.104481792717087,0.117897727272727,0.116571428571429,0.118731988472622,0.151367781155015,0.19171974522293,0.17542662116041,0.204332129963899,0.209090909090909,0.196747967479675,0.219512195121951,0.239004149377593,0.243111111111111,0.223255813953488,0.232727272727273,0.274090909090909,0.247465437788018,0.25981308411215,0.24392523364486,0.287203791469194,0.258878504672897,0.253448275862069,0.223255813953488
